IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
IVANNA,KOBIETA,9334
MARIANA,KOBIETA,9189
NICOLA,KOBIETA,9040
NATASZA,KOBIETA,9003
LIWIA,KOBIETA,8869
JOWITA,KOBIETA,8731
VIRA,KOBIETA,8492
VANESSA,KOBIETA,8411
ALFREDA,KOBIETA,8366
YEVHENIIA,KOBIETA,8331
APOLONIA,KOBIETA,8036
ROMANA,KOBIETA,7941
MELANIA,KOBIETA,7862
INGA,KOBIETA,7857
JESSICA,KOBIETA,7661
ANHELINA,KOBIETA,7609
ELENA,KOBIETA,7551
DARYNA,KOBIETA,7484
ADA,KOBIETA,7467
ELEONORA,KOBIETA,7374
MARZENNA,KOBIETA,7320
JULIANNA,KOBIETA,7307
ESTERA,KOBIETA,7231
BIANKA,KOBIETA,7046
LUDWIKA,KOBIETA,7034
MARHARYTA,KOBIETA,7006
LESIA,KOBIETA,6958
MILANA,KOBIETA,6851
SOFIA,KOBIETA,6769
BERNADETTA,KOBIETA,6619
ZENONA,KOBIETA,6585
WACŁAWA,KOBIETA,6387
KARYNA,KOBIETA,6276
ZLATA,KOBIETA,6249
KIRA,KOBIETA,6240
ULIANA,KOBIETA,6189
ALISA,KOBIETA,6130
DONATA,KOBIETA,6084
WALENTYNA,KOBIETA,6063
LUDMIŁA,KOBIETA,6054
ANETTA,KOBIETA,6038
YEVA,KOBIETA,5971
LIDIIA,KOBIETA,5924
MAYA,KOBIETA,5913
OLESIA,KOBIETA,5905
FELICJA,KOBIETA,5903
LILIA,KOBIETA,5888
RITA,KOBIETA,5855
IDA,KOBIETA,5731
HILDEGARDA,KOBIETA,5683
ZENOBIA,KOBIETA,5649
EMMA,KOBIETA,5614
AMANDA,KOBIETA,5561
ROMUALDA,KOBIETA,5515
KSENIIA,KOBIETA,5430
MYROSLAVA,KOBIETA,5369
OTYLIA,KOBIETA,5369
KRISTINA,KOBIETA,5289
ARINA,KOBIETA,5256
GIZELA,KOBIETA,5242
RUSLANA,KOBIETA,5127
IRMINA,KOBIETA,5074
ALBINA,KOBIETA,5043
DARIIA,KOBIETA,4896
VITA,KOBIETA,4877
VIKTORIA,KOBIETA,4833
LILLA,KOBIETA,4715
SŁAWOMIRA,KOBIETA,4706
BERNARDA,KOBIETA,4599
ALENA,KOBIETA,4586
ERYKA,KOBIETA,4581
PELAGIA,KOBIETA,4536
ANGELINA,KOBIETA,4536
GAJA,KOBIETA,4468
SOLOMIIA,KOBIETA,4456
ANASTASIYA,KOBIETA,4362
YULIYA,KOBIETA,4338
LONGINA,KOBIETA,4285
WALERIA,KOBIETA,4149
RYSZARDA,KOBIETA,4124
VLADYSLAVA,KOBIETA,4114
KAMILLA,KOBIETA,4063
TEODOZJA,KOBIETA,4048
TEODORA,KOBIETA,3970
IRINA,KOBIETA,3910
ALEXANDRA,KOBIETA,3894
ZHANNA,KOBIETA,3880
RAISA,KOBIETA,3838
MIRELA,KOBIETA,3832
TATSIANA,KOBIETA,3791
ADELAJDA,KOBIETA,3732
ZOJA,KOBIETA,3725
LILA,KOBIETA,3713
VARVARA,KOBIETA,3700
VOLHA,KOBIETA,3654
FAUSTYNA,KOBIETA,3625
ANZHELA,KOBIETA,3616
KATSIARYNA,KOBIETA,3559
NATALIYA,KOBIETA,3496
MARINA,KOBIETA,3492
MARIYA,KOBIETA,3464
